2024-10-22 19:51:19 [root] INFO: Init django with environment "dev"
2024-10-22 19:51:19 [root] INFO: Database: kyrt_dev
2024-10-22 15:51:20 [root] INFO: Init django with environment "dev"
2024-10-22 15:51:20 [root] INFO: Database: kyrt_dev
2024-10-22 15:51:24 [django.server] INFO: "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
2024-10-22 15:51:25 [django.server] INFO: "GET /admin/ HTTP/1.1" 200 16587
2024-10-22 15:51:25 [django.server] INFO: "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
2024-10-22 15:51:25 [django.server] INFO: "GET /static/admin/css/base.css HTTP/1.1" 304 0
2024-10-22 15:51:25 [django.server] INFO: "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
2024-10-22 15:51:25 [django.server] INFO: "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
2024-10-22 15:51:25 [django.server] INFO: "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
2024-10-22 15:51:25 [django.server] INFO: "GET /static/admin/js/theme.js HTTP/1.1" 304 0
2024-10-22 15:51:25 [django.server] INFO: "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
2024-10-22 15:51:25 [django.server] INFO: "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
2024-10-22 15:51:25 [django.server] INFO: "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
2024-10-22 15:51:33 [django.server] INFO: "GET /admin/web/document/ HTTP/1.1" 200 61608
2024-10-22 15:51:33 [django.server] INFO: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
2024-10-22 15:51:33 [django.server] INFO: "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
2024-10-22 15:51:33 [django.server] INFO: "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
2024-10-22 15:51:33 [django.server] INFO: "GET /static/admin/js/core.js HTTP/1.1" 304 0
2024-10-22 15:51:33 [django.server] INFO: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
2024-10-22 15:51:33 [django.server] INFO: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
2024-10-22 15:51:34 [django.server] INFO: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
2024-10-22 15:51:34 [django.server] INFO: "GET /static/admin/js/actions.js HTTP/1.1" 304 0
2024-10-22 15:51:34 [django.server] INFO: "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
2024-10-22 15:51:34 [django.server] INFO: "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
2024-10-22 15:51:34 [django.server] INFO: "GET /static/admin/js/filters.js HTTP/1.1" 304 0
2024-10-22 15:51:34 [django.server] INFO: "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
2024-10-22 15:51:40 [django.server] INFO: "GET /admin/web/case/ HTTP/1.1" 200 125292
2024-10-22 15:51:41 [django.server] INFO: "GET /static/admin/img/search.svg HTTP/1.1" 304 0
2024-10-22 15:51:41 [django.server] INFO: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
2024-10-22 15:51:41 [django.server] INFO: "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
2024-10-22 15:51:41 [django.server] INFO: "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
2024-10-22 15:51:45 [django.server] INFO: "GET /admin/web/case/?o=1.-9 HTTP/1.1" 200 135565
2024-10-22 15:51:45 [django.server] INFO: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
2024-10-22 15:51:50 [django.server] INFO: "GET /admin/web/case/?o=-1.-9 HTTP/1.1" 200 133893
2024-10-22 15:51:50 [django.server] INFO: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
