Competitor / Fictitious LLC Name
 ABARNARE LLC
1 Barajas LLC
"1 Basefinance, LLC"
"1 Magnolias Steel,LLC"
"1 Paddock, LLC"
"123 Lump Sum aka Dreamgiver Financial, LLC"
"1328 Property Development, LLC"
"1328 Property Development, LLC DBA Liberty"
"1328 Property Development, LLC DBA Liberty Settlement Funding"
17-CUBS LLC aka Catalina
1737 RECOVERY ASSOCIATES LLC DBA Liberty
"1737 RECOVERY ASSOCIATES, LLC"
1BEACHFRONTREALTY LLC
"1Beachfrontrealty, LLC"
"1BEACHFRONTREALTY, LLC"
"1Deal Management, LLC"
"2 Fifth Finance, LLC"
2 Fifths Finance LLC
2 Tenths Finance LLC
"2 Tenths Finance, LLC"
22 TITLE SOLUTIONS LLC
22 TITLE SOLUTIONS LLC Black Square
22 TITLE SOLUTIONS LLC DBA Black Square
22 TITLE SOLUTIONS LLC dba Black Square
"22 TITLE SOLUTIONS, LLC"
"23 Downs, LLC aka JG"
"23 Downs, LLC aka Peachtree"
"24 Kal Winter, LLC aka Catalina"
2WFP
2WFP aka Novation
2WFP DBA Novation
"324 SOUTHEASTERN, LLC"
"3CES Maple Collections, LLC aka Catalina"
4 FIFTH FINANCE LLC
"4 FIFTH FINANCE LLC D/B/A Legacy Capital Funding, LLC"
"4 FIFTH FINANCE LLC DBA Legacy Capital Settlement Funding, LLC"
"4 Fifths Finance, LLC"
"4 THIRDS FINANCE, LLC"
4321 F.U.N.D. LLC DBA Redstone Capital
"5532 COLOR CUBED, LLC"
"700 Messi, LLC aka Intelifund"
"7000 Ent, LLC"
"7000 ENT, LLC"
"7000 Park Place, LLC"
"7000 Park Place, LLC DBA Lion Grace Capital"
"9.34 MARVOLO, LLC aka Catalina"
"A.N.G. I, LLC "
"A.P.C.R., LLC aka JG"
"A.V.N. Tolo, LLC"
"ABATARE, LLC"
Accord Funding LLC
"Accountable Advising Strategies, LLC aka SAF's Network"
Ace Settlement Funding
"Ace Settlement Funding, LLC"
"Actaea, LLC"
"Active Receivables, LLC DBA Funding Direct"
"Adenna Med, LLC"
"Adenna Med, LLC aka Structured Advisors, LLC"
ADUNCARE LLC
"Advance Funding, LLC "
"Advance Funding, LLC Now JG"
"Adventura, LLC aka DRB Capital "
"Adventus, LLC"
AEH Collection DBA Lions Grace
AEH Collection LLC
AHI 44 LLC
Aikman Structured Finance
"Aikman Structured Finance, Inc"
"Aikman Structured Finance, LLC"
"ALABASTER OBELISK, LLC"
"ALABASTER OBELISK, LLC DBA RISING CAPITAL"
Alachua Group LLC
"Alfredo Aside, LLC"
"Alfredo Aside, LLC d/b/a American Settlement Funding, LLC "
"Allied Stone Management, LLC"
Allstate
Allstate Settlement
Allstate Settlement Corp
"Almelo East, LLC"
"Alum Juville, LLC aka BlackSquare Financial"
"Ambaro Grove, LLC aka Black Square Financial"
Amber Waves aka Novation
"Amber Waves D/B/A Novation Funding, LLC"
"Amberverse, LLC"
"American Annuity Funding, LLC"
AMERICAN EQUITY CORPORATION
"American Farms, LLC aka Intelifund"
"American Farms, LLC aka Palm Harbor"
"American Farms, LLC aka Palm Harbor, aka Brendan Franks"
"American Farms, LLC aka Palm Harbor, aka Intelifund"
"American Farms, LLC aka Palm Harbor, LLC, aka Intelifund Financial, LLC"
"Amrak.Dab, LLC"
"Amrak.Dab, LLC DBA Liberty"
"Amrak.Dab, LLC dba Liberty Settlement Funding"
Annuity Capital Transfer LLC
"Annuity Transfers, LTD"
"Annuity Transfers, LtD"
Apis Management
Apis Management D/B/A Fairfield Funding
"Apis Management d/b/a Fairfield Funding, LLC"
"Apis Management, LLC"
APOLLO MATHERS LLC aka Catalina
"Apollo Mathers, LLC aka Catalina"
"Apple Tree 9, LLC"
Appliance King
"ASAP Credit, Inc"
Asbury Park LLC
Asbury Park LLC dba Black Square
Asbury Park LLC DBA Black Square
"Asbury Park, LLC"
"ASBURY PARK, LLC"
"ASD Solutions, LLC"
"ASD Solutions, LLC DBA FORTUNE"
"Ash Square, LLC"
"Ash Square, LLC aka JG"
"Ashlee Calendar, LLC"
"Aspire Fund, Inc d/b/a US Settlement Funding, LLC"
Asset Security Consulting
"Asset Security Consulting, LLC aka Yousef Khoury"
"Astoria First, LLC"
"ASV Funding, LLC"
"ASV FUNDING, LLC Fortune Settlements"
"ATB Savings, LLC"
"ATHENA HOME GROUP, LLC"
"Atlantic Settlement Funding, LLC"
"Atlas Receivables, LLC"
"Automated Receivables, LLC"
"Axel Core, LLC"
"Axel Core, LLC DBA Black Square Financial"
"B Boran, LLC aka JG"
"B. Erny, LLC aka JG"
"B.C.R.Y., LLC"
"B.C.R.Y., LLC aka JG"
"B.C.S.T., LLC aka JG"
"B.G. Tile, LLC aka JG"
B.G.I. Nahvadah LLC aka Catalina
"B.L.W.L., LLC aka JG"
"B.M.A. One, LLC aka JG"
"B.M.A. One, LLC d/b/a JG Wentworth"
B535 LLC aka Client First 
Balmoral Capital LLC
BALTRUM ASP LLC
"Barcelona Ridge, LLC"
"Barclay Unlimited, LLC DBA Intellifund"
"BARLANARK RECEIVABLES, LLC"
"Basalt Group, LLC"
BCNP ENTERPRISE LLC aka Intelifund
"BCNP Enterprise, LLC"
"BCNP ENTERPRISE, LLC aka Intelifund"
"BEHARA CAP, LLC"
"Bellbrigg Division, LLC"
Belr Holdings LLC
"Belr Holdings, LLC"
"Belr Holdings, LLC d/b/a Fortune Settlement Solutions"
"Belr Holdings, LLC DBA Fortune Settlement Solutions"
"Benchmark Settlement Funding, LLC"
Bender Financing
Bene LLC
"Bene, LLC"
Bengal Circle LLC
"Bengal Circle, LLC"
Bentzen Financial LLC
"Bentzen Financial, LLC"
"BHG Structured Settlements, Inc."
BHG was JG Wentworth
Bifco
BIFCO LLC
"Bifco, LLC"
"Bilmon 5, LLC aka JG"
"BJLY, LLC aka JG"
"Black Canyon Funding, LLC aka Intelifund"
"Black Vista, LLC DBA Client First."
"BLUE BAY FUNDING LLC, aka Palm Harbor, aka Intelifund"
"Blue Bay Funding, LLC aka Palm Harbor, LLC aka Intelifund"
"Blue Claw, LLC"
"Blue Sky Keys, LLC aka CapNow, aka SAF Network company "
"Blue Sky Keys, LLC see notes"
Blue Waters
Blue Waters DBA Novation
Blue Waters dba Novation Funding
Bofi Federal Bank
Boise Heights Corporation
Boise Heights Corporation aka Genex
"Boston Park, LLC"
"Bowerbank, LLC, aka Canal Structured Consultants"
"Bowerbank, LLC, aka Canal Structured Consultants, aka Corey Simpson"
"Bowman's Management, LLC"
"Bowmans Management, LLC"
"BREVARD TITLE SERVICES, LLC"
"Bridge Cay, LLC DBA Lion Grace"
Brighthouse Life Insurance Company
BROWNSTONE ST LLC
"Brownstone St, LLC"
BTW D/B/A Labyrinth Funding
"Burtis MV, LLC aka JG"
"Butterfield, LLC"
"C-S Light, LLC"
"C-S LIGHT, LLC "
"C.I. Reuse, LLC aka JG"
"C.K.N.C.K., LLC aka JG"
"C.M.N, I, LLC"
"C.N. Hinton, LLC"
"C.S. Collections, LLC aka Catalina"
C.S. Federal Register aka Novation
CA HOLDINGS 300 LLC
"Calvary SPV, LLC"
"Calvary SPV, LLC aka Fortune Funding"
"Calvary SPV, LLC D/B/A Fortune Settlement Solutions"
"Calvary SPV, LLC DBA Fortune Settlement Solutions"
"Camaby Carjule, LLC"
"Camaguey Castle, LLC"
"CAMBRIDGE CAPITAL FUNDINGS, INC"
"Candidate Man, LLC"
CAPITAL CONTRIBUTORS LLC DBA Funding Direct
"Capital Court, LLC aka BSF"
"Capital Fishing, LLC"
"Capital Now, LLC"
Capital Park Funding LLC
Capital Source LLC
"Capital Source, LLC"
"Cash Now Capital Partners, LLC"
"Cashworthy, LLC"
"Caspian 322, LLC"
"Cast-Rom, LLC"
"CAT IV, LLC"
Catalina Structured Funding
Catalina was JG Wentworth
CBC Settlement Funding
CBC SETTLEMENT FUNDING
CBC SETTLEMENT FUNDING LLC
CBC Settlement Funding now Novation aka Cross Road Services
"CBC Settlement Funding, LLC"
"CDEN GROUP, LLC"
CDN GROUP LLC
"Certified Sails, LLC"
"Certify Assignments, LLC"
"Chainbridge Group, LLC"
Champion Services aka Novation
"Champions Street, LLC"
"Charlotte, LLC"
"Chell, LLC"
CHESAPEAKE 2018 LLC
"CHESAPEAKE 2018, LLC"
"CHILLA WELL, LLC"
Chloe Steakler LLC
CHLOE STEAKLER LLC DBA AmSett
CIAP PROPERTIES LLC
"CINQUE FIVE, LLC"
"Ciolec Way, LLC aka Client First"
"Circle Orchard, LLC aka Client First"
CIRCUMSPECT 7 LLC
"Clear Integrity, LLC"
Clearscape Funding
Clearscape Funding aka Symetra
Clearscape Funding Corp
"Client First Lotteries, LLC"
CMN I LLC
"Coastal Collect, LLC"
"Coastal Collect, LLC DBA Black Square"
"Com Edison, LLC"
Comet Financial Corp
Comet Financial Corp aka Stratcap
COMPANY
CONCORD DENNING LIMITED COMPANY
Concord Denning Limited Company
Concordis Group Limited
CONDO 1 LLC
Connecticut Cosmetics
CORDERO GROUP LLC
"COREWARD, LLC"
"Coreward, LLC"
"Corner of Elm, LLC"
Cornerstone Funding
"Cornerstone Funding, LLC d/b/a High Point Funding"
Corona Capital LLC
"CORPORATIONS OF INSURANCE CASUALTIES, L.L.C"
"Court Settlement Funding, LLC aka David Berger's company"
"Couvin Ter, LLC"
COWAN-DAVIES LLC aka JGW
COWAN-DAVIES LLC dba JG Wentworth
"Cowan-Davies, LLC aka JG"
"CRAEMAN, LLC"
"Craeman, LLC"
"Credit Financial Repair, LLC"
"CREDIT FINANCIAL REPAIR, LLC aka CBC"
"Credit Financial Repair, LLC aka CBC"
"Credit Repair Financial, LLC"
"Crescent Isle, LLC DBA BSF"
"Crispy Fall, LLC"
Crossroads Services
Crossroads Services aka Novation
"Crow Rock, LLC"
"Crow Rock, LLC aka Black Square "
"Crow Rock, LLC d/b/a Black Square Financial"
"Crowfly, LLC"
"CrowFly, LLC"
Crystal Vision DBA Open Capital SAF Network Company
"Cumberland Receivables, LLC"
"D. Berts, LLC aka JG"
"D.B. Forbes, LLC aka JG"
"D.D.C. Mayo, LLC"
"D.D.C. MAYO,LLC "
"D.G. & T., LLC aka JG"
"D.J.R. I, LLC aka JG"
"D.J.R. I, LLC aka Peachtree Settlement Funding, LLC"
"D.J.R.I, LLC aka JG"
"D.J.R.I., LLC aka JG"
"D.K.R.N.S., LLC"
"D.Z.I. Ring, LLC aka JG"
"Danby Research, LLC"
"Daou Whitehaven, LLC DBA Fortune Settlement Solutions"
DAYFLOWER LLC
"Dear-Gan, LLC aka JG"
"Deer Camp Holdings, LLC"
"Del Vella I, LLC aka JG"
Destiny Travels
"DGS, LLC"
"Dig-Gin, LLC dba Peachtree "
"Doge's Loggia, LLC"
"DONALD
AND GAYLE MORRIS SETTLEMENT
FUNDING OF CALIFORNIA"
Donovan Finance LLC Rising Cap
DOVER SERVICES CORPORATION 
DOVER SERVICES CORPORATION aka Genex
Dover Svcs Corp
DRB Capital
"DRB Capital, LLC"
"DRB Capital, LLC et al v. Metlife Assignment Company et al"
"DRB Capital, LLC for Judicial approval of Structured Settlement annuity sale and Assignment Agreement with Payee"
"Dunbar Filings, LLC"
"E. Yonglod, LLC aka JG"
"E.S. Dantis, LLC aka JG"
Earnhardt Group LLC
ECARG N OIL LLC DBA BLACK SQUARE
"ECARG N OIL, LLC"
"ECARG N OIL, LLC DBA Black Square"
"ECARG N OIL, LLC dba Black Square"
ECG Fool!!
EF Specialty Funding LLC
EF Specialty Funding LLC aka Novation
EF Specialty Funding LLC dba Encore Funding
EHR CLOSING LLC
"EHR Closing, LLC"
"Elf Sanctum, LLC"
"Equus, LLC"
"Ergo, LLC aka DRB Capital"
"ERSKINE PURCHASE, LLC"
"ESQUIJAROSA, LLC"
"Estate Fund, LLC"
"Et Al, LLC"
"Eulo Five, LLC"
"Exclusive Payments Group, LLC"
"Executive Capital Group, LLC"
"Executive Finance, LLC"
"Exo Strategic Capital, LLC aka Seneca One"
Expediting Services Inc
"Expediting Services, LLC"
"F. Braun, LLC"
"F.A. Sell, LLC aka JG"
"F.T.L,18, LLC"
"F.T.M.V., LLC"
"Fair Harbour, LLC"
Fairmont TWP Group
"Farmhouse Capital, LLC"
Fast Annuity Settlement Transfers
Fast Annuity Settlement Transfers LLC
"Fast Annuity Settlement Transfers, LLC"
Fastfund LLC
"Feldman Partners, LLC"
"Field of Rye, LLC"
"Fiesta two.thousand and 21, LLC"
Fifth 3rd LLC DBA Lion Grace Capital
"Financial Title Solutions, LLC d/b/a BSF"
"Financial Title Solutions, LLC d/b/a/ Black Square Financial, LLC "
"FINTECH, LLC"
"Fintech, LLC"
"First Limited Group, LLC"
First Sequoia Capital LLC
First Service Group DBA JG
"First Service, LLC"
"Fischer Firm, LLC"
"Fisher Strategic LLC, aka Seneca One"
"Five Clyde, LLC"
"Five Fourths Finance, LLC"
Flying Kites aka Novation
"FND ZATTERE, LLC"
"FND ZATTERE, LLC DBA Rising Capital"
"Fortune Settlement Solutions, LLC"
"Frey 17, LLC"
Fritz-Ewing LLC
Fritz-Ewing LLC aka Jg Wentworth
"Frontier Trading Partners, LLC"
"Future Now, LLC dba Labyrinth Funding"
"G.E. Kert, LLC aka JG"
"G.P.R. 1, LLC aka JG"
"G.S.C. Wart, LLC aka JG Wentworth"
"G.S.M. 55, LLC"
"G7 Crescenta, LLC aka Catalina"
"Gard E I, LLC aka JG"
"Giotto 7, LLC D/B/A DRB"
"Glek-Wand, LLC aka JG"
"Global Monetary Group, Inc."
Gold Leaf Settlement Solutions LLC
"Gold Leaf Settlement Solutions, LLC"
"Gold Leaf Settlement Solutions, LLC no dba."
"Graystone Funding, LLC"
Great Plains Management Corporation aka Genex
Great Plains Managment Corporation
"Green Lights, LLC"
"Green Lights, LLC; DBA Rising Capital"
"Green Tordoff, LLC"
Greenban Companies LLC aka Intelifund
"Greenview Housing, LLC"
Greenwood Funding
"Greenwood Funding, LLC"
"Greenwood Funding, LLC aka Rightway Funding, LLC"
"Greenwood Funding, LLC d/b/a Rightway Funding"
"Greenwood Funding, LLC d/b/a Rightway Funding, LLC"
"Griff-Dod, LLC aka JG"
"Guardian Settlement Funding, LLC"
"GW Funding Solutions, LLC"
H M V 2020 LLC d/b/a Liberty
"H. Asche, LLC dba JG Wentworth"
"H. Asche, LLC dba JG Wentworth "
"H.B.S. Andersen, LLC aka JG"
"H.R.S.I., LLC aka JG"
"H.R.S.I., LLC aka JG - AE is Tom, Ryan and Michael Tucker (director)"
"HADEED CONSULTING, LLC aka Yousef Khoury"
"HADEED CONSULTING, LLC Yousif"
"HAS Closing, LLC"
HCNA 800 LLC aka Client First
"Heavy Feather, LLC"
"Hempstead Ventures, LLC DBA JGW (according to Ismael)"
"Heron Blue, LLC d/b/a BSF"
"Heron Blue, LLC DBA BSF"
"Hewlett, LLC"
"HGH Cap, LLC"
"HGH Cap, LLC DBA Lions Mane -- former BSF guys"
"HH Groot, LLC"
"HH Groot, LLC aka Lion Grace Capital which is 2 guys who used to work at BSF"
Highpoint Funding
"Highpoint Funding, LLC"
"Hillsboro Title, LLC"
"Hilton Mount, LLC"
"Himmarshee, LLC d/b/a Unknown"
"HLP.DSK, LLC aka JG"
HOLLIS1ASF LLC
HOLLIS1ASF LLC Probably JG with Vegas address on registered agent
Hoover Circle LLC
"Hoover Circle, LLC"
"HOOVER CIRCLE, LLC"
"Hope Cove, LLC"
"Huayra, LLC"
Hudson Finance Group LLC
"Hudson Finance Group, LLC"
"Hudson Finance Group, LLC D/B/A CBC Settlement Funding"
"Hunter Shores, LLC"
"I. Zhang, LLC"
"Ibis 2020, LLC"
"Icepicgreen3, LLC aka Rising Capital - Mike is the rep"
"Ileki Vans, LLC aka JG"
"Imperial Assignments, LLC"
IN THE MATTER OF AND THE APPLICATION F dba Stone Street Capital
"In the Matter of the Petition of J.G. Wentworth Originations, LLC"
"In the Matter of the Petition of Peachtree Settlement Funding, LLC"
In Trepid709 LLC aka Catalina
In-Trepid709 LLC aka Catalina
"In-Trepid709, LLC aka Catalina"
"Inner Circle Funding, LLC aka Seneca One"
"Intelifund, LLC"
"Ivongo Nile, LLC"
IXORA & OLEANDER LLC d/b/a Rising Capital
"Ixora &amp; Oleander, LLC DBA Rising Capital"
J G Wentworth
J G Wentworth Originations LLC
"J. Boell, LLC aka JG"
"J. G. WENTWORTH ORIGINATIONS OF CALIFORNIA, LLC "
"J. GARCIA PLUM, LLC"
J.C.P.H.S. LLC aka JG
"J.C.P.H.S., LLC aka JG"
"J.D. Homes I, LLC aka JG"
J.G. Wentworth Originations
"J.G. Wentworth Originations, LLC"
"J.G. WENTWORTH ORIGINATIONS, LLC"
"J.g. Wentworth Originations, LLC"
"J.G. Wentworth Originations, LLC v. Allstate Life Insurance Company et al"
"J.G. Wentworth Originations, LLC v. Allstate Life Insurance Company Of New York et al"
"J.G. WENTWORTH ORIGINATIONS, LLC v. ANITTA FIGGINS et al"
"J.G. WENTWORTH ORIGINATIONS, LLC v. CHARIE HARROD et al"
"J.G. WENTWORTH ORIGINATIONS, LLC v. M. P. et al"
"J.G. Wentworth Originations, LLC v. Prudential Insurance Company of America et al"
"J.G. WENTWORTH ORIGINATIONS, LLC v. STEVEN KIND et al"
"J.G. WENTWORTH ORIGINATIONS, LLC v. T. W. et al"
"J.M.C.O.D., LLC aka JG"
"J.P.S.S., LLC aka JG"
"J.S.V. Lutz, LLC aka JG"
"J&L SERVICE, LLC"
"J&L Service, LLC"
"J3 Financial Group, LLC"
Jackson Heights
"Jacob Joseph And Associates, LLC"
"JaG1 Connections, LLC aka Catalina"
"Jay-West, LLC aka JG"
"Jazan Grey, LLC"
Jersey Athletics Corporation aka Genex
Jersey Athletics Corporation d/b/a Genex Capital 
JG
JG Wentworth
jG Wentworth
JG Wentworth 
JG Wentworth - AE is Alex
JG Wentworth and Novation
JG Wentworth Originations 
JG Wentworth Originations LLC
JG WENTWORTH ORIGINATIONS LLC
"JG Wentworth Originations, LLC"
JG Wentworth reps name is Clark
"JG Wentworth Settlement Funding, LLC aka Jamali Key, LLC"
JG Wentworth was Apis Management
JG Wentworth was Novation recently
JG Wentworth/ I think reps name is Alex
JGW was WePayMore Funding LLC
"JJ Rentals, LLC"
"JJWR, LLC"
JLC Capital Funding
"JLC Capital Funding, LLC"
"JLC Capital Funding, LLC was R E 1, LLC in 2017 deal"
John Hancock Assignment Co
"Jovans Knox, LLC"
K.S. 83505 aka Novation
"Kaluz Creek, LLC"
"Kaluz Creek, LLC aka Black Square Financial, LLC"
"Kaluz Creek, LLC aka BSF"
"KAPP, LLC"
"Kenilworth Assignments, LLC"
"Keswick Currency, LLC"
"Kid & Duarte, LLC d/b/a J.G Wentworth Originations, LLC "
"KN Direct Capital , LLC"
"Konna Square, LLC"
L 200 LLC aka Client First
Labyrinth Funding
"Labyrinth Funding, LLC"
"LABYRINTH FUNDING, LLC"
"Labyrinth Funding, LLC d/b/a Regis Capital Group, LLC"
"Labyrinth Funding, LLC."
Lakeshore Springs LLC
"LAKESIDE PALMS, LLC"
"Lasso IV, LLC"
Law First Finance
Law First Finance LLC
"Law First Finance, LLC"
Leaf 002 LLC
"Leaf 002, LLC"
"Legacy Capital Funding, LLC"
"Legend Funding, LLC"
"Legere, LLC"
"Legrace Avenue, LLC dba StratCap"
"LGC Partners, LLC"
Liberty Funding Solutions  LLC
Liberty Settlement
"Liberty Settlement Funding, LLC"
"Liberty Settlement Funding, LLC aka Coastal Advisors, LLC"
"Limited X, LLC"
"Lincoln & Brennan, LLC"
LINCOLN AND BRENNAN LLC
"Line Docs, LLC"
"Lion 13, LLC"
"Lion 13, LLC DBA Lion Grace Capital"
"Lion Gate Holdings, LLC"
Lion Grace Capital LLC
"Liquid Asset Transfers, LLC"
"Locanda Green, LLC"
"Lonebark, LLC"
"Longmire Closings, LLC"
"Longmore Park, LLC"
"Lottery Funding, LLC"
"Loxley Square, LLC"
LUMP AND THEN SUM LLC
"LVMV, LLC aka CBC"
"LVMV, LLC DBA CBC"
"LVNV Assistance, LLC"
"LVNV Assistance, LLC DBA Liberty"
"M.C. Kin, LLC"
"M.C. Kin, LLC DBA Peachtree"
"M.C. Tar, LLC aka JG"
"M.V.H., LLC"
"Mac-Doug-All, LLC"
"MAGIC CITY ACES, LLC"
"Magnolia Live Ent, LLC"
"Magnus, LLC"
Majestic Funding LLC
"Malibu Island d/b/a Novation Funding, LLC "
"Marble Paper, LLC"
MARE LLC 
"Marlow Ventures, LLC"
"Mastiles Assignments, LLC"
MAT JEN LLC
MATADOR STREET LLC
MAXIMUM ASSIGNABLES LLC aka Intelifund
"Maximum Assignables, LLC"
MCH YACHTS aka Catalina
"Mead Valley, LLC"
"Melcombe Park, LLC"
"Mercer Porter, LLC"
"Mercio V, LLC"
"Mercio V, LLC aka JG"
"Mercio V, LLC d/b/a J.G. Wentworth Originations, LLC"
Mercury Home Furnishings
"Merope-43, LLC aka Catalina"
"Midland Finance Group, LLC aka CBC"
"Midland Funding Group, LLC"
"Midland Life Solutions, LLC"
Midlund FC LLC
"MIDWIRE ASSOCIATES, LLC"
"Miller Rd, LLC DBA Rising Capital"
"Millford West Management, LLC"
"Mira Largo, LLC"
Mobile Markets
"MOBILE MARKETS, LLC"
"Mobile Markets, LLC"
"MOBILE MARKETS, LLC DBA Black Square"
"Molona Wales, LLC aka Black Square Financial; reps name is Kayron Merciles"
"MONTERRA FALLS, LLC, for the Approval of Transfer of Structured Settlement Payment Rights In Accordance with GOL 5-1701 et seq."
"Moon E. Y., LLC aka JG Wentworth"
"MS Direct, LLC"
"Murillo-Cuevas, LLC aka JG Wentworth"
Musica LLC
"N F, LLC aka Novation"
"N.F., LLC"
"N.F., LLC aka Novation"
"N.W.J., LLC aka JG"
"N.Y.E., LLC aka JG"
""
"Nampcel Burg, LLC"
NAN WILLOW LLC 
"Napa VIII, LLC"
"Napa VIII, LLC DBA Rising Cap"
Naranja FL
Naranja FL aka Novation
"Naranja FL aka Novation Funding, LLC"
"Nathaniel Oakes, LLC"
"National Annuity Svcs, LLC"
NATIONAL LOAN COMPANY INC DBA STRATCAP
"Necessity Capital, LLC"
"Nempcel Burg, LLC"
